===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-01-14 18:54:47
count workspace : /Users/fabrizioguespe/Developer/htdocs/fastway/wp-content/themes/fastway
total files : 233
total code lines : 26654
total comment lines : 4548
total blank lines : 4559

404.php, code is 3, comment is 0, blank is 2.
archive.php, code is 36, comment is 5, blank is 23.
assets/css/bootstrap.min.css, code is 1, comment is 7, blank is 0.
assets/css/jquery.fancybox.min.css, code is 1, comment is 0, blank is 0.
assets/css/swiper.min.css, code is 1, comment is 11, blank is 0.
assets/css/theme.min.css, code is 1831, comment is 76, blank is 187.
assets/css/theme.min.css.map, code is 1, comment is 0, blank is 0.
assets/img/brizio.png, it is a binary file.
assets/img/cupones.png, it is a binary file.
assets/img/error.png, it is a binary file.
assets/img/favi.png, it is a binary file.
assets/img/favib.png, it is a binary file.
assets/img/logo.png, it is a binary file.
assets/img/logo.svg, code is 37, comment is 0, blank is 0.
assets/img/mantenimiento.png, it is a binary file.
assets/img/theme-option-variable-style1.jpg, it is a binary file.
assets/img/theme-option-variable-style2.jpg, it is a binary file.
assets/js/bootstrap.min.js, code is 1, comment is 6, blank is 0.
assets/js/cycle.min.js, code is 1, comment is 0, blank is 0.
assets/js/fancybox.min.js, code is 2, comment is 11, blank is 0.
assets/js/fastway.js, code is 185, comment is 22, blank is 29.
assets/js/fastway.min.js, code is 142, comment is 11, blank is 15.
assets/js/fw-customizer.js, code is 52, comment is 0, blank is 0.
assets/js/jquery.min.js, code is 1, comment is 2, blank is 0.
assets/js/popper.min.js, code is 1, comment is 4, blank is 0.
assets/js/swiper.min.js, code is 1, comment is 12, blank is 0.
author.php, code is 61, comment is 7, blank is 30.
comments.php, code is 70, comment is 24, blank is 29.
demos/cedar/cedar.dat, code is 1, comment is 0, blank is 0.
demos/cedar/cedar.json, code is 1, comment is 0, blank is 0.
demos/cedar/cedar.wie, code is 1, comment is 0, blank is 0.
demos/cedar/cedar.xml, code is 1253, comment is 16, blank is 8.
